left	 bheap
0.339295 0.706245
0.354218 0.714756
0.357214 0.758191
0.361041 0.717116
0.360277 0.724044
0.358599 0.730971
0.358222 0.728459
left	 bheap
0.383363 0.702731
0.357229 0.721925
0.360656 0.727233
0.361486 0.715989
0.369440 0.715140
0.367359 0.715861
0.361758 0.728940
left	 bheap
0.348921 1.639409
0.353885 0.810872
0.352320 0.807543
0.398077 0.777256
0.450745 0.779016
0.495956 0.761031
0.442305 0.755174
52495630 52504370 52502454 52497546
